player: pivnoy_zapivon; best_time: 0.517; player_record: 2; session_date: 2021-06-03 17:35:10;
player: ivan; best_time: 0.481; player_record: 22; session_date: 2021-06-03 17:36:58;
player: alkash; best_time: 0.55; player_record: 3; session_date: 2021-06-03 17:44:24;
player: zozh; best_time: 0.592; player_record: 4; session_date: 2021-06-03 17:48:50;
player: alkoman; best_time: 0.516; player_record: 15; session_date: 2021-06-04 12:30:12;
player: crazy_alko; best_time: 0.568; player_record: 4; session_date: 2021-06-04 13:31:22;
player: ivan; best_time: 0.627; player_record: 4; session_date: 2021-06-04 13:37:31;
player: ivan; best_time: 0.019; player_record: 7; session_date: 2021-06-04 13:52:55;
player: John; best_time: 0.546; player_record: 7; session_date: 2021-06-06 16:35:37;
player: John; best_time: 0.54; player_record: 10; session_date: 2021-06-06 16:36:49;
player: John; best_time: 0.484; player_record: 5; session_date: 2021-06-06 16:37:37;
player: John; best_time: 0.543; player_record: 7; session_date: 2021-06-06 16:41:19;
player: Volodya; best_time: 0.538; player_record: 12; session_date: 2021-06-06 16:54:36;
player: Volodya; best_time: 0.545; player_record: 38; session_date: 2021-06-06 17:00:40;
player: Ive; best_time: No one collected; player_record: 0; session_date: 2021-06-17 14:14:31;
player: Ivan; best_time: 0.54; player_record: 3; session_date: 2021-06-17 16:00:38;
player: Ivan; best_time: 0.582; player_record: 3; session_date: 2021-07-07 17:44:39;
player: Irina; best_time: 0.0; player_record: 1; session_date: 2021-07-07 17:49:32;
player: Irina; best_time: 0.637; player_record: 3; session_date: 2021-07-07 17:50:38;
player: Iirna; best_time: 0.703; player_record: 2; session_date: 2021-07-07 17:51:51;
player: Ivan; best_time: 0.59; player_record: 7; session_date: 2021-07-07 17:52:44;
player: Valek; best_time: No one collected; player_record: 0; session_date: 2021-08-26 22:57:41;
player: Balash; best_time: 0.454; player_record: 17; session_date: 2021-09-03 09:40:55;
player: balash; best_time: 0.455; player_record: 4; session_date: 2021-09-03 09:42:05;
player: Vasya; best_time: 0.501; player_record: 6; session_date: 2021-09-06 16:57:09;
player: Petya; best_time: 0.011; player_record: 5; session_date: 2021-09-06 16:58:33;
player: pipiska; best_time: 0.017; player_record: 2; session_date: 2021-11-15 15:03:36;
player: DIvan; best_time: 0.024; player_record: 13; session_date: 2022-06-04 08:58:42;
